Camera ID,rx,ry,rz,tx,ty,tz,fc1,fc2,pp1,pp2,kc1,kc2,kc3,kc4,kc5
1,0.24497866312686414,0.0,1.5707963267948966,200.0,0.0,0,1627,1627,1024,544,-0.24740331519612946,-0.9959563101732527,-0.13114560362535532,-0.99676559488707,0.6934313837324555
2,0.24497866312686414,0.0,2.199114857512855,161.80339887498948,117.55705045849463,0,1604,1604,1024,544,0.639366046776733,-0.5657480862520763,0.532777205563582,-0.034992515577330296,-0.6258439531746596
3,0.24497866312686414,0.0,2.827433388230814,61.80339887498949,190.2113032590307,0,1638,1638,1024,544,-0.13703494364492697,-0.76502868827632,-0.6541507071794217,0.11421747084867584,-0.2756865697615216
4,0.24497866312686414,0.0,-2.827433388230814,-61.80339887498947,190.21130325903073,0,1601,1601,1024,544,-0.46628735231808194,0.03515212786645305,-0.44883569130172973,0.8548657614470834,0.8419042598508395
5,0.24497866312686412,0.0,-2.1991148575128556,-161.80339887498945,117.55705045849464,0,1614,1614,1024,544,-0.5372643080707225,-0.1602168399971695,-0.9318602871922563,0.0049331481978380776,0.12568662747279813
6,0.24497866312686412,0.0,-1.5707963267948968,-200.0,2.4492935982947064e-14,0,1628,1628,1024,544,0.5225957652075539,0.41203689818192624,-0.9930750682041445,-0.9430735480430701,0.8460759390148906
7,0.24497866312686414,0.0,-0.9424777960769382,-161.8033988749895,-117.5570504584946,0,1617,1617,1024,544,-0.39476717575768006,-0.6319949608509008,-0.4116452564130335,-0.7380570056961304,-0.1702057051467445
8,0.24497866312686414,0.0,-0.3141592653589795,-61.80339887498951,-190.2113032590307,0,1610,1610,1024,544,-0.9278011246569635,-0.8877234824512401,0.14917018798088177,0.026594547538290936,-0.4363335266067174
9,0.24497866312686414,0.0,0.3141592653589791,61.80339887498945,-190.21130325903073,0,1632,1632,1024,544,0.3204113262392154,0.6518006923590922,-0.36204109838432985,0.988476742215203,0.8523695075613815
10,0.24497866312686417,0.0,0.9424777960769377,161.80339887498945,-117.55705045849467,0,1650,1650,1024,544,-0.9568522245620297,-0.04146420939793627,-0.6785843500695234,-0.022922384264418172,-0.9058219594294894
